,docid,hot,thank,gift,contr,views,article,patient1,period,treat
75,http://lujinsong.haodf.com/,4.4,147,103,17085,1908670,2,3002,1,0
76,http://wangkun.haodf.com/,4.4,143,1499,79005,5160299,50,4876,1,0
77,http://zhangchaojie.haodf.com/,4.3,150,1118,104861,9549908,77,6824,1,0
78,http://wooj.haodf.com/,4.1,44,337,39109,2763458,17,2705,1,0
79,http://drliuguangyu.haodf.com/,4.1,126,648,63275,6433316,2,2041,1,0
80,http://drliuhui.haodf.com/,3.9,30,62,12245,1097091,0,1212,1,0
81,http://drchenshanwen.haodf.com/,5,342,1104,90110,1932306,178,5341,1,0
82,http://yedingwei.haodf.com/,4.7,330,1337,162260,13937806,28,10753,1,0
83,http://joeliweiguo.haodf.com/,4.5,408,297,61186,3724176,12,6044,1,0
84,http://drdaibo.haodf.com/,4.5,159,447,24370,2091883,33,2434,1,0
85,http://yangbin710.haodf.com/,4.5,178,678,28795,691111,30,1544,1,0
86,http://qianzhangbmu.haodf.com/,4.4,250,656,112575,8050601,61,7190,1,0
87,http://drlyq.haodf.com/,4.4,76,147,21835,268556,0,1771,1,0
88,http://Wtianpeng.haodf.com/,4.4,49,405,60170,1389684,46,4804,1,0
89,http://chandlerwang.haodf.com/,4.3,51,92,8050,662528,5,1355,1,0
90,http://lixuesong.haodf.com/,4.2,162,531,84019,6084692,40,4181,1,0
91,http://caotangfengqiang.haodf.com/,3.9,16,79,18540,266702,19,1208,1,0
92,http://jiangmanbodr.haodf.com/,3.7,6,65,60230,1688973,16,6094,1,0
93,http://yangzhying.haodf.com/,4.5,194,752,103372,9625907,35,8073,1,0
94,http://yangtian6666.haodf.com/,4.4,46,186,10301,792637,34,1316,1,0
95,http://shixianjie.haodf.com/,4.3,105,564,102600,5586626,15,8188,1,0
96,http://zhenglihuahua.haodf.com/,4.5,154,728,56725,1958202,59,5406,1,0
97,http://lihuidf.haodf.com/,4.6,197,606,65492,3979703,16,5899,1,0
98,http://baoming.haodf.com/,4.6,78,687,136725,11312152,23,9505,1,0
99,http://suny1233.haodf.com/,4.5,33,256,14615,267481,3,1295,1,0
100,http://fanxindong.haodf.com/,4.9,209,677,168171,7014090,4,11767,1,0
101,http://litan0919.haodf.com/,5,225,263,19275,838821,7,1693,1,0
102,http://guohongjie.haodf.com/,4.6,314,1176,94864,4543133,72,7101,1,0
103,http://zhangchenghai1.haodf.com/,4.6,75,358,32500,1024152,22,2770,1,0
104,http://zhanghaodoc.haodf.com/,4.6,176,487,64010,3467351,0,5254,1,0
105,http://huhai.haodf.com/,4.8,207,1199,218173,22053052,71,16950,1,0
106,http://huanggengwen.haodf.com/,4.7,165,907,35355,1002494,81,1915,1,0
107,http://binbin35.haodf.com/,4.6,276,311,76160,5940788,22,6208,1,0
108,http://renjianan.haodf.com/,4.5,463,705,101213,8314602,20,6481,1,0
109,http://xiaoyong9995.haodf.com/,4.5,150,200,19685,733409,35,1719,1,0
110,http://zhaohmdr.haodf.com/,4.5,95,958,39160,540365,9,1946,1,0
111,http://tyl1990.haodf.com/,4.4,108,243,23782,2015675,69,2666,1,0
112,http://hanbaosan.haodf.com/,4.3,255,2611,205859,28582861,246,9827,1,0
113,http://wujinzhu1124.haodf.com/,4.3,217,215,82065,1596992,139,4271,1,0
115,http://shaotl.haodf.com/,4.2,396,3174,405267,32693173,31,25999,1,0
116,http://chenshuqin1021.haodf.com/,5,163,1525,91020,1667928,0,4863,1,0
117,http://chenfeidr.haodf.com/,5,276,1328,75615,5128120,7,5802,1,0
118,http://huminyisheng.haodf.com/,4.9,83,1670,127665,570394,0,5986,1,0
119,http://Wangdonghongdr.haodf.com/,4.9,123,658,85295,1278548,18,8102,1,0
120,http://hongling529.haodf.com/,4.3,393,1293,128845,6703294,22,8921,1,0
121,http://lxyhys.haodf.com/,4.6,205,425,111610,1156362,29,6755,1,0
122,http://xuhainan123.haodf.com/,4.7,76,1181,69605,1439107,19,5587,1,0
123,http://zhaoqianyx.haodf.com/,4.7,86,230,34825,2196927,24,3759,1,0
124,http://xuchengkang.haodf.com/,4.7,106,759,74361,5545785,18,6815,1,0
125,http://panlingya.haodf.com/,4.6,344,1817,54450,17365800,0,6652,1,0
126,http://dengxiaohui.haodf.com/,4.5,115,372,71491,7028901,30,6718,1,0
127,http://yszlfy.haodf.com/,4.6,159,607,52820,4743553,8,4753,1,0
128,http://zhuzhengxia.haodf.com/,4.6,69,589,114355,1468417,2,7461,1,0
129,http://zhouk88.haodf.com/,4.6,75,1410,82732,6402460,39,5893,1,0
130,http://sjzwhw.haodf.com/,4.6,45,392,71450,1317718,74,3957,1,0
131,http://chengjiumei.haodf.com/,4.3,220,1493,264165,19091424,15,18334,1,0
132,http://yinliandi.haodf.com/,4.5,54,686,146805,11224480,1,8851,1,0
133,http://shannc.haodf.com/,4.4,32,401,48310,1162973,23,3545,1,0
134,http://chenweilinxh.haodf.com/,4.4,58,497,52780,3058070,49,4141,1,0
135,http://zhaomxdr.haodf.com/,4.4,33,218,31925,454223,6,1931,1,0
136,http://liuwei3956.haodf.com/,4.4,49,179,17115,299456,1,1371,1,0
137,http://mataodr.haodf.com/,4.3,41,188,78410,4845379,19,5433,1,0
138,http://liliuxia.haodf.com/,4.3,26,100,29280,2703736,20,2537,1,0
139,http://wangbin6758.haodf.com/,4.4,44,383,76425,1632059,11,5738,1,0
140,http://linbei.haodf.com/,4.3,93,634,99395,11349910,53,7625,1,0
141,http://jzc88.haodf.com/,4.3,76,1097,481097,31662153,11,17278,1,0
142,http://yangniandr.haodf.com/,4,15,67,42960,992915,1,3270,1,0
143,http://tianyimeidr.haodf.com/,3.7,13,66,30065,1502965,98,2563,1,0
144,http://liuming7678.haodf.com/,5,143,686,77195,2686900,21,5073,1,0
145,http://wxinhua.haodf.com/,4.9,71,607,52555,1469377,1,2696,1,0
146,http://heyiping9999.haodf.com/,4.8,90,1427,98850,1257634,15,4439,1,0
147,http://tangzhijiandr.haodf.com/,4.7,46,371,34395,521028,3,2373,1,0
148,http://cjh0290.haodf.com/,4.6,16,230,38880,859148,10,2862,1,0
149,http://lijiedrdoctor.haodf.com/,4.3,16,542,38060,279697,3,1319,1,0
150,http://lhy81048.haodf.com/,4.2,6,61,12175,203925,2,1129,1,0
151,http://baosh2002.haodf.com/,5,307,1426,195232,12270578,52,11175,1,0
155,http://dubotao.haodf.com/,4.5,163,684,186459,12610248,68,12447,1,0
156,http://gaosj.haodf.com/,4.5,231,1266,136841,11932773,9,9141,1,0
158,http://szzhanghong.haodf.com/,4.1,193,2267,233613,18335405,57,6026,1,0
159,http://liujunlj.haodf.com/,3.6,10,65,34540,670175,3,2552,1,0
160,http://Haojing1978.haodf.com/,3.3,2,13,22050,1096770,0,2482,1,0
161,http://huameima.haodf.com/,4.4,116,1250,34675,521751,1,1466,1,0
162,http://Hgqdr.haodf.com/,4.4,78,1314,115720,1678522,22,9000,1,0
163,http://xzc47.haodf.com/,4.5,115,419,58413,2623058,4,4350,1,0
164,http://liyuqindr.haodf.com/,4.4,75,172,18430,100455,1,1538,1,0
165,http://zlc051.haodf.com/,4.3,62,963,132310,2154556,2,6341,1,0
166,http://wangxiuying07.haodf.com/,4.2,48,225,35375,2140346,27,2752,1,0
167,http://wujunrmyy.haodf.com/,4.2,72,1823,31775,1201885,109,764,1,0
168,http://qianjiangchaodr.haodf.com/,4.2,45,575,36800,248976,3,1878,1,0
169,http://baihaitao.haodf.com/,4.2,33,536,20175,322107,32,1278,1,0
170,http://huangleidr.haodf.com/,4,13,48,21782,2077930,9,1365,1,0
171,http://guzaiyan.haodf.com/,3.7,4,12,5310,1546613,25,641,1,0
172,http://zzjwlb123456.haodf.com/,3.6,7,65,30960,426707,61,1833,1,0
173,http://cong623636809.haodf.com/,3.4,0,3,10835,152430,0,692,1,0
174,http://ayzhenghong.haodf.com/,5,104,628,67760,763334,0,3555,1,0
175,http://dengchun1968.haodf.com/,4.8,69,1007,67480,821402,2,3655,1,0
177,http://jirx0606.haodf.com/,4.8,193,834,63331,2979237,1,4003,1,0
178,http://genggang550928.haodf.com/,4.7,140,874,58175,1120664,5,3613,1,0
179,http://wangjr.haodf.com/,4.7,125,685,44235,1981384,40,3609,1,0
180,http://drjyyou.haodf.com/,5,130,1040,87240,1486372,17,7160,1,0
181,http://jinyuldyy.haodf.com/,4.8,103,534,74545,2295052,15,5458,1,0
182,http://chenchangbindr.haodf.com/,4.8,66,286,29815,358096,5,2388,1,0
183,http://zhuxiaohuadr.haodf.com/,4,7,12,12248,1015433,2,1259,1,0
185,http://huayimin.haodf.com/,5,503,635,76886,3529158,22,4556,1,0
186,http://hanbo35.haodf.com/,4.9,364,548,88300,3701472,20,6754,1,0
187,http://jrdoctoryang.haodf.com/,4.6,60,212,28205,778623,12,1879,1,0
188,http://lixiaomei.haodf.com/,4.4,232,932,122975,8289784,30,7276,1,0
189,http://xielijian.haodf.com/,4.3,37,172,36264,1906112,16,2429,1,0
190,http://gaoyuanfu.haodf.com/,4.7,140,491,47811,2404863,3,2939,1,0
191,http://lilysun0930.haodf.com/,4.9,76,791,52960,600029,2,1377,1,0
192,http://ertongzhuziyang.haodf.com/,5,65,619,51195,776464,32,2204,1,0
193,http://yanjienfm.haodf.com/,4.6,111,353,55727,6556707,22,5545,1,0
194,http://sungch001.haodf.com/,5,85,1259,59325,762789,9,2158,1,0
195,http://jinyanliang2000.haodf.com/,4.8,82,291,22048,1042916,14,1463,1,0
196,http://drzhoubin.haodf.com/,4.9,96,423,51670,394871,19,4653,1,0
197,http://shichuankui.haodf.com/,5,739,3452,373595,8169841,41,17848,1,0
198,http://liyunlingdr.haodf.com/,4.7,114,784,64015,663132,16,3952,1,0
199,http://jiangyanling917.haodf.com/,4.7,72,379,42490,779313,1,3777,1,0
200,http://wanmingshun.haodf.com/,4.4,89,429,62363,1613282,28,3788,1,0
201,http://drzhaolimin.haodf.com/,5,124,316,62360,2733575,1,5441,1,0
202,http://liyun742.haodf.com/,5,82,859,59350,715484,28,3160,1,0
203,http://zouyu2013.haodf.com/,4.8,56,171,67020,1753101,34,7237,1,0
207,http://zhoudekaidr.haodf.com/,5,382,1331,121185,1895465,9,10154,1,0
208,http://surgeonhubo.haodf.com/,4.5,143,263,26030,594139,7,1790,1,0
210,http://renhongxiadr.haodf.com/,4.4,94,430,20155,295128,1,1534,1,0
211,http://zhangyuebindr.haodf.com/,4.3,45,437,39845,560636,4,3235,1,0
212,http://yingzhou.haodf.com/,4.3,90,349,28190,636800,5,1129,1,0
213,http://likaikerry.haodf.com/,4.2,52,307,27665,1301248,9,1988,1,0
214,http://chenhaichen.haodf.com/,4.1,215,3447,261395,1917856,24,6736,1,0
218,http://harrysunhl.haodf.com/,4.9,194,220,18360,1461852,58,2049,1,0
219,http://lizijian.haodf.com/,4.9,144,462,55739,3380452,27,3955,1,0
220,http://yuyonglinhdf.haodf.com/,4.7,77,48,9935,142380,129,584,1,0
221,http://xhwangjh.haodf.com/,4.6,125,181,55910,4416013,19,7757,1,0
222,http://lifengdoc.haodf.com/,4.8,98,385,18323,985712,80,1577,1,0
223,http://fupeiliang.haodf.com/,4.6,47,118,11310,262408,13,986,1,0
224,http://lishugang.haodf.com/,4.5,197,330,41817,5133890,7,4445,1,0
225,http://gaoxurendr.haodf.com/,4.4,188,244,52130,6433066,608,8796,1,0
226,http://gzhuangzq.haodf.com/,4.4,74,512,62927,4107572,422,5019,1,0
227,http://haiyong.haodf.com/,4.3,66,531,114717,7435882,202,6937,1,0
228,http://zhanghongmd.haodf.com/,4.2,68,260,48135,3026306,193,3351,1,0
229,http://aoplatedoctor.haodf.com/,4.2,41,165,45830,885652,105,3403,1,0
230,http://sunchangying.haodf.com/,3.7,7,25,23726,1151899,18,2869,1,0
231,http://lhbdalian243.haodf.com/,3.5,3,20,20960,863240,10,2457,1,0
232,http://jiangliangputh.haodf.com/,5,371,1399,202375,15766617,109,14827,1,0
233,http://yangqiangdoctor.haodf.com/,4.9,125,335,26360,670132,43,2811,1,0
234,http://orthoyang.haodf.com/,4.8,113,188,16585,877557,7,3160,1,0
235,http://microortho.haodf.com/,4.5,39,133,38110,1513302,20,3572,1,0
236,http://jianyuny.haodf.com/,4.8,154,451,50640,2466945,18,3546,1,0
238,http://xulei68.haodf.com/,4.6,90,471,31515,1575487,9,2340,1,0
239,http://xuhailin.haodf.com/,4.9,99,175,19415,988820,22,1439,1,0
240,http://yuantao1967.haodf.com/,5,92,557,56770,915628,0,3881,1,0
243,http://wangzimin.haodf.com/,4.6,100,117,31167,2655486,58,2741,1,0
244,http://tangqiheng.haodf.com/,4.6,43,54,3395,122720,1,355,1,0
245,http://havestlee.haodf.com/,4.5,242,459,139248,9700238,5,11095,1,0
246,http://wangxiaoying08.haodf.com/,4.7,186,712,176353,10943023,34,12491,1,0
247,http://siwodo.haodf.com/,4.8,96,250,47214,968571,13,3348,1,0
248,http://xu7jin.haodf.com/,4.8,105,162,30021,1722835,0,2829,1,0
249,http://shshenqin.haodf.com/,4.7,80,480,62823,2549499,18,4937,1,0
250,http://lipengjing.haodf.com/,4.7,89,200,17435,500632,0,1676,1,0
251,http://yuzhiqiangdr.haodf.com/,4.6,83,275,41932,1913189,14,3239,1,0
252,http://hyang1007.haodf.com/,4.7,93,291,28463,1819442,22,2808,1,0
253,http://chenyouxin.haodf.com/,4.7,356,769,85214,9738338,50,9626,1,0
254,http://wangwjchina.haodf.com/,4.6,52,490,20485,587111,21,2946,1,0
255,http://lizhengkang58.haodf.com/,4.5,312,236,102675,4000128,25,4671,1,0
256,http://chenyueguo.haodf.com/,4.5,68,166,38140,3727192,17,3090,1,0
257,http://dongbaixia.haodf.com/,4.4,26,197,37410,1406064,5,4567,1,0
258,http://limingwu.haodf.com/,4.3,50,56,8789,1235596,1,1229,1,0
259,http://qikunying.haodf.com/,4,9,23,17765,573353,45,2025,1,0
260,http://zhaoyangwang.haodf.com/,4,7,7,1735,222448,0,307,1,0
261,http://aipinggu.haodf.com/,3.3,2,12,9161,599422,0,712,1,0
262,http://xiangdm.haodf.com/,4.8,228,1246,155305,7860840,35,9317,1,0
263,http://zhudehai.haodf.com/,4.6,159,542,122226,8169032,46,9156,1,0
264,http://ykyg.haodf.com/,4,275,1492,944917,78791270,395,69055,1,0
267,http://rockersong.haodf.com/,4.9,41,205,72830,3259358,3,7069,1,0
268,http://zhangxiaohui1983.haodf.com/,4.5,152,285,39965,1705261,2,3263,1,0
269,http://Drdingpeng.haodf.com/,4.9,74,88,5465,166173,2,792,1,0
270,http://BingFang.haodf.com/,4.7,58,599,100869,9279361,35,6526,1,0
271,http://drchenzhuo.haodf.com/,4.9,91,181,24485,623006,2,2339,1,0
272,http://jimxiaojian.haodf.com/,4.8,111,1286,40315,290135,7,1030,1,0
273,http://dengyanhong7.haodf.com/,4.2,17,197,15558,761411,46,968,1,0
275,http://wangshanhaifu.haodf.com/,4.4,74,222,33165,1939422,22,2820,1,0
276,http://qingleigao.haodf.com/,4.9,159,357,33045,1554553,0,2464,1,0
277,http://xugang5.haodf.com/,4.5,19,126,59306,6551631,250,5489,1,0
278,http://yantaiqiang.haodf.com/,4.6,90,129,13625,1276443,3,1710,1,0
279,http://zhuiyuan87.haodf.com/,5,56,884,42905,504583,0,1389,1,0
280,http://zhaifengxia.haodf.com/,5,44,228,68285,2824499,1,6913,1,0
281,http://judy815.haodf.com/,4.8,399,2602,342001,41879332,32,16531,1,0
282,http://chenruixuecrx.haodf.com/,4.8,215,1136,99233,7844473,2,5778,1,0
283,http://laimaohuadoctor.haodf.com/,4.7,55,430,74854,7393786,75,5968,1,0
284,http://zengcheng1988.haodf.com/,4.6,135,811,161178,15388166,96,10471,1,0
285,http://zhaohonglihaodf.haodf.com/,4.2,82,361,68620,7025339,50,3709,1,0
286,http://tengxiuxiang.haodf.com/,4.2,91,669,202275,20706374,22,16687,1,0
287,http://hymaxian.haodf.com/,4.2,20,141,20344,402289,2,1116,1,0
288,http://songchundong.haodf.com/,4.9,65,178,15990,348195,22,1482,1,0
289,http://caolf.haodf.com/,4.3,18,262,32650,519094,11,2536,1,0
290,http://wulq1211.haodf.com/,3.9,28,26,27545,3465587,15,2408,1,0
291,http://likaihua.haodf.com/,4.5,41,139,38455,2625469,43,3198,1,0
292,http://libohua811016.haodf.com/,4.7,47,62,16570,549145,7,1327,1,0
293,http://vipzhihong.haodf.com/,4.7,109,504,108835,2117526,6,8038,1,0
294,http://libo.haodf.com/,5,126,587,143925,13451658,172,11164,1,0
295,http://zhoubindaifu.haodf.com/,4.5,59,288,42150,15032405,16,3900,1,0
296,http://hexinguodr.haodf.com/,4.5,52,271,40070,937949,33,3078,1,0
297,http://liiuguangwei.haodf.com/,4.2,16,87,11900,592365,109,1542,1,0
298,http://lijingwei120.haodf.com/,3.7,1,12,24895,1692049,2,2753,1,0
299,http://shisuofang.haodf.com/,4.9,127,599,97630,9587458,183,7859,1,0
300,http://zhangxiaomeidoc.haodf.com/,4.4,52,25,3145,48718,13,415,1,0
302,http://gaojiandong.haodf.com/,4.3,12,27,7442,529452,2,476,1,0
303,http://yepeizhi.haodf.com/,4.8,110,558,57284,3343671,22,3520,1,0
304,http://harvyhuang.haodf.com/,4.4,41,617,27125,436994,10,1636,1,0
305,http://tianjianhui.haodf.com/,4.4,146,1410,94402,6533382,40,7727,1,0
306,http://wuwanyin.haodf.com/,4.3,51,257,57652,6142561,37,4639,1,0
307,http://lidahys.haodf.com/,4.6,207,2937,337612,23382294,94,17491,1,0
308,http://wangweitaodr.haodf.com/,4.9,63,179,13585,466462,15,1178,1,0
309,http://xuguangfu.haodf.com/,4.8,191,626,183970,14833382,115,8312,1,0
310,http://twmcgcyx.haodf.com/,4.4,17,47,49444,5446013,42,3865,1,0
311,http://qinguozheng.haodf.com/,4.9,75,695,93418,5977431,35,7886,1,0
312,http://lvliguo.haodf.com/,4.5,93,419,78475,6274701,93,3954,1,0
313,http://wendywang13.haodf.com/,5,142,241,46319,2703148,14,3459,1,0
314,http://chenluquan.haodf.com/,4.8,101,505,23655,2210409,51,2826,1,0
315,http://gred522.haodf.com/,4.4,23,20,12343,2684771,341,1383,1,0
316,http://zxj6298.haodf.com/,4.8,83,205,26585,1049224,0,1892,1,0
317,http://dongzhenhua.haodf.com/,4.9,429,2751,267645,25853897,5,8489,1,0
318,http://wangliangxin1958.haodf.com/,4.7,52,258,24130,102822,5,1325,1,0
319,http://syun163.haodf.com/,4.9,160,2070,176775,6198820,39,9607,1,0
320,http://gaomingxjurology.haodf.com/,4.8,120,441,68449,3048015,187,6126,1,0
321,http://hongyandr.haodf.com/,4.6,132,820,147230,6579552,6,7628,1,0
322,http://jiyurong.haodf.com/,4.6,110,1291,98161,3094596,10,3917,1,0
323,http://tianlifengdr.haodf.com/,4.6,67,1736,72990,704089,16,3510,1,0
325,http://mahuagang.haodf.com/,4.5,138,495,92427,2373421,9,6510,1,0
326,http://cqpassion.haodf.com/,4.5,58,1178,53220,454711,26,1100,1,0
327,http://sunxiuqin82063.haodf.com/,4.4,88,1040,74347,2356330,71,5236,1,0
328,http://zhengpengsheng.haodf.com/,4.5,582,335,122105,16464930,12,11080,1,0
331,http://zhangningszy.haodf.com/,4.2,92,612,180676,10383453,4,7861,1,0
332,http://wangzulong.haodf.com/,4.1,57,203,199679,20137281,86,14553,1,0
333,http://fengwenjuann.haodf.com/,4,16,69,14790,149077,6,536,1,0
335,http://hanzhao3577.haodf.com/,4.7,165,836,101865,3322768,43,8445,1,0
336,http://zanghongrui.haodf.com/,4.7,158,205,20880,1226737,7,2795,1,0
337,http://chenyangxijing.haodf.com/,4.6,117,545,36710,2017576,20,3387,1,0
338,http://entljr.haodf.com/,4.5,129,433,105377,9874601,8,7962,1,0
339,http://bchen66.haodf.com/,4.5,232,347,69725,8729163,52,7327,1,0
340,http://doctorchenming.haodf.com/,4.4,80,172,12360,475876,26,1477,1,0
341,http://wangwuqing.haodf.com/,4.4,97,220,21465,2097114,28,2963,1,0
342,http://lijiandong.haodf.com/,4.2,88,238,128280,10298886,88,9236,1,0
343,http://xzhwang.haodf.com/,4,72,530,245739,18241048,43,15110,1,0
344,http://mdonglai.haodf.com/,4.5,668,526,104901,30823871,15,14043,1,0
345,http://pfklicy1.haodf.com/,4.5,217,1565,168680,8785117,31,12434,1,0
346,http://xiangleihongdr.haodf.com/,4.5,224,1156,23375,1708272,0,1710,1,0
347,http://pengyangdr.haodf.com/,4.3,81,343,55250,1631585,0,4632,1,0
348,http://ddpfmr.haodf.com/,4.2,96,243,38095,2078274,24,4234,1,0
349,http://jaingfaxing.haodf.com/,4.2,64,484,85540,4479407,5,6760,1,0
350,http://kewujian.haodf.com/,5,83,636,104490,1674919,80,4295,1,0
351,http://sunyingqiyan.haodf.com/,3.7,7,34,47395,1285522,1,4273,1,0
352,http://songyuantao.haodf.com/,3.5,1,35,65330,1174146,0,3524,1,0
355,http://pengyifeng.haodf.com/,4.4,66,531,131658,4588830,97,9266,1,0
356,http://songweiru.haodf.com/,4.4,63,745,107660,1543961,34,5466,1,0
358,http://huomenghua.haodf.com/,4.2,14,168,114337,10376193,33,9107,1,0
359,http://yangqiongbd.haodf.com/,5,111,320,36317,1815406,32,2108,1,0
360,http://zhengxianzhen.haodf.com/,4.9,73,843,26990,383665,5,2603,1,0
361,http://zhufy.haodf.com/,4.7,48,207,41120,5308315,20,3540,1,0
362,http://luoxiaonian.haodf.com/,4.7,209,844,221896,33038642,116,11463,1,0
363,http://zhengminxin.haodf.com/,4.5,49,344,32505,334766,15,1095,1,0
364,http://mengfu.haodf.com/,3.8,5,6,15280,1946614,25,1330,1,0
365,http://yanghaozhen.haodf.com/,4.7,112,520,83115,4040015,58,7065,1,0
